/* количество пунктов; количество измерений базовых линий; количество измерений из опорного пункта; имя опорного пункта */
/* алгоритм рассчитан на то, что с опорного пункта были измерения на все остальные пункты */
8;28;7;NW0
/**/
/* массив данных измерений пунктов в формате: имя пункта; x; y; z; B; L */
NW6;3099283.2470000000;2528370.9090000000;4951626.9929999998;0.894616294;0.684296392
NW7;3101220.0800000001;2528609.3920000000;4950269.4079999998;0.894280914;0.684036601
NW1;3102676.0750000002;2528492.6439999999;4949418.5199999996;0.894068313;0.683784117
NW3;3099384.5720000002;2527268.2160000000;4952090.8520000000;0.894737504;0.684066722
NW0;3099372.2659999998;2527786.3390000002;4951852.1279999996;0.894675167;0.684169067
NW4;3100879.8199999998;2527129.3799999999;4951225.4960000003;0.894521471;0.683803607
NW5;3102131.6940000001;2527935.6230000001;4950038.7709999997;0.894223899;0.683762152
NWG;3101390.5780000002;2529235.2500000000;4949848.0659999996;0.894174984;0.684130884
/**/ 
/* базовые линии без искажений в формате: Т стояния; Т измерения; Dx; Dy; Dz */
NW4;NW5;1251.8751;806.2425;-1186.7253
NW4;NW6;-1596.5752;1241.5286;401.4968
NW4;NWG;510.7574;2105.8697;-1377.4303
NW4;NW7;340.2598;1480.012;-956.088
NW4;NW1;1796.2546;1363.2638;-1806.976
NW0;NW3;12.3061;-518.1231;238.7249
NW0;NW4;1507.5541;-656.9591;-626.6317
NW0;NW5;2759.4293;149.2834;-1813.357
NW0;NW1;3303.8087;706.3047;-2433.6076
NW0;NW6;-89.0211;584.5695;-225.1349
NW0;NWG;2018.3116;1448.9107;-2004.062
NW0;NW7;1847.8139;823.0529;-1582.7197
NW3;NW4;1495.2481;-138.836;-865.3565
NW3;NW5;2747.1232;667.4065;-2052.0818
NW3;NW1;3291.5027;1224.4278;-2672.3325
NW3;NW6;-101.3271;1102.6956;-463.8598
NW3;NWG;2006.0055;1967.0338;-2242.7869
NW3;NW7;1835.5078;1341.176;-1821.4445
NW5;NW1;544.3795;557.0213;-620.2506
NW5;NW6;-2848.4403;435.2861;1588.2221
NW5;NWG;-741.1177;1299.6273;-190.705
NW5;NW7;-911.6153;673.7695;230.6373
NW1;NW6;-3392.8298;-121.7352;2208.4727
NW1;NWG;-1285.4972;742.606;429.5456
NW1;NW7;-1455.9948;116.7482;850.8879
NW6;NWG;2107.3326;864.3412;-1778.9271
NW6;NW7;1936.835;238.4834;-1357.5848
NWG;NW7;-170.4977;-625.8577;421.3423


